k       nbComp          temps           temps_cumulé            PourcentageExploration
832     475000          0.005334                0.833181                -nan
831     475000          0.004976                0.838157                -nan
830     475000          0.004899                0.843056                -nan
829     475000          0.004823                0.847879                -nan
828     475000          0.004821                0.8527          -nan
827     475000          0.004899                0.857599                -nan
826     475000          0.004798                0.862397                -nan
825     475000          0.004875                0.867272                -nan
824     475000          0.004882                0.872154                -nan
823     475000          0.005304                0.877458                -nan
822     475000          0.005093                0.882551                -nan
821     475000          0.004828                0.887379                -nan
820     475000          0.004816                0.892195                -nan
819     475000          0.00483         0.897025                -nan
818     475000          0.005035                0.90206         -nan
817     475000          0.004868                0.906928                -nan
816     475000          0.004831                0.911759                -nan
815     475000          0.004781                0.91654         -nan
814     475000          0.00537         0.92191         -nan
813     475000          0.004871                0.926781                -nan
812     475000          0.004831                0.931612                -nan
811     475000          0.004858                0.93647         -nan
810     475000          0.004775                0.941245                -nan
809     475000          0.004869                0.946114                -nan
808     475000          0.004899                0.951013                -nan
807     475000          0.00482         0.955833                -nan
806     475000          0.004801                0.960634                -nan
805     475000          0.005317                0.965951                -nan
804     475000          0.005007                0.970958                -nan
803     475000          0.004903                0.975861                -nan
802     475000          0.004822                0.980683                -nan
801     475000          0.004966                0.985649                -nan
800     475000          0.004807                0.990456                -nan
799     475000          0.004889                0.995345                -nan
798     475000          0.004806                1.00015         -nan
797     475000          0.004846                1.005           -nan
796     475000          0.00535         1.01035         -nan
795     475000          0.004864                1.01521         -nan
794     475000          0.004858                1.02007         -nan
793     475000          0.004821                1.02489         -nan
792     475000          0.004883                1.02977         -nan
791     475000          0.004875                1.03465         -nan
790     475000          0.004865                1.03951         -nan
789     475000          0.004816                1.04433         -nan
788     475000          0.004887                1.04922         -nan
787     475000          0.00532         1.05454         -nan
786     475000          0.004906                1.05944         -nan
785     475000          0.004825                1.06427         -nan
784     475000          0.005108                1.06937         -nan
783     475000          0.004935                1.07431         -nan
782     475000          0.00482         1.07913         -nan
781     475000          0.004809                1.08394         -nan
780     475000          0.005036                1.08898         -nan
779     475000          0.005095                1.09407         -nan
778     475000          0.00541         1.09948         -nan
777     475000          0.004853                1.10433         -nan
776     475000          0.004925                1.10926         -nan
775     475000          0.004883                1.11414         -nan
774     475000          0.004822                1.11896         -nan
773     475000          0.004799                1.12376         -nan
772     475000          0.004956                1.12872         -nan
771     475000          0.004891                1.13361         -nan
770     475000          0.004804                1.13841         -nan
769     475000          0.005319                1.14373         -nan
768     475000          0.004869                1.1486          -nan
767     475000          0.00488         1.15348         -nan
766     475000          0.004945                1.15843         -nan
765     475000          0.004797                1.16322         -nan
764     475000          0.004875                1.1681          -nan
763     475000          0.004912                1.17301         -nan
762     475000          0.004838                1.17785         -nan
761     475000          0.004783                1.18263         -nan
760     475000          0.005335                1.18797         -nan
759     475000          0.00495         1.19292         -nan
758     475000          0.00484         1.19776         -nan
757     475000          0.004928                1.20268         -nan
756     475000          0.004801                1.20748         -nan
755     475000          0.004827                1.21231         -nan
754     475000          0.004791                1.2171          -nan
753     475000          0.004937                1.22204         -nan
752     475000          0.004825                1.22686         -nan
751     475000          0.005378                1.23224         -nan
750     475000          0.0049          1.23714         -nan
749     475000          0.004879                1.24202         -nan
748     475000          0.004808                1.24683         -nan
747     475000          0.004828                1.25166         -nan
746     475000          0.004797                1.25645         -nan
745     475000          0.004967                1.26142         -nan
744     475000          0.004798                1.26622         -nan
743     475000          0.004843                1.27106         -nan
742     475000          0.005335                1.2764          -nan
741     475000          0.005004                1.2814          -nan
740     475000          0.004867                1.28627         -nan
739     475000          0.004841                1.29111         -nan
738     475000          0.005008                1.29612         -nan
737     475000          0.004823                1.30094         -nan
736     475000          0.00486         1.3058          -nan
735     475000          0.004799                1.3106          -nan
734     475000          0.004846                1.31545         -nan
733     475000          0.005323                1.32077         -nan
732     475000          0.00494         1.32571         -nan
731     475000          0.004866                1.33057         -nan
730     475000          0.004887                1.33546         -nan
729     475000          0.004806                1.34027         -nan
728     475000          0.00489         1.34516         -nan
727     475000          0.004779                1.34994         -nan
726     475000          0.004806                1.35474         -nan
725     475000          0.004808                1.35955         -nan
724     475000          0.005418                1.36497         -nan
723     475000          0.004968                1.36994         -nan
722     475000          0.005046                1.37498         -nan
721     475000          0.00482         1.3798          -nan
720     475000          0.004798                1.3846          -nan
719     475000          0.004953                1.38955         -nan
718     475000          0.004859                1.39441         -nan
717     475000          0.004828                1.39924         -nan
716     475000          0.004831                1.40407         -nan
715     475000          0.005325                1.4094          -nan
714     475000          0.004859                1.41426         -nan
713     475000          0.004866                1.41912         -nan
712     475000          0.004883                1.424           -nan
711     475000          0.004963                1.42897         -nan
710     475000          0.004826                1.43379         -nan
709     475000          0.004822                1.43862         -nan
708     475000          0.004773                1.44339         -nan
707     475000          0.004821                1.44821         -nan
706     475000          0.005394                1.4536          -nan
705     475000          0.004845                1.45845         -nan
704     475000          0.004892                1.46334         -nan
703     475000          0.004898                1.46824         -nan
702     475000          0.004822                1.47306         -nan
701     475000          0.00482         1.47788         -nan
700     475000          0.004789                1.48267         -nan
699     475000          0.004823                1.48749         -nan
698     475000          0.004864                1.49236         -nan
697     475000          0.005337                1.49769         -nan
696     475000          0.005006                1.5027          -nan
695     475000          0.004878                1.50758         -nan
694     475000          0.004818                1.5124          -nan
693     475000          0.004856                1.51725         -nan
692     475000          0.004816                1.52207         -nan
691     475000          0.004862                1.52693         -nan
690     475000          0.004805                1.53173         -nan
689     475000          0.004977                1.53671         -nan
688     475000          0.005329                1.54204         -nan
687     475000          0.00487         1.54691         -nan
686     475000          0.004854                1.55176         -nan
685     475000          0.004844                1.55661         -nan
684     475000          0.004921                1.56153         -nan
683     475000          0.004886                1.56642         -nan
682     475000          0.00484         1.57126         -nan
681     475000          0.004814                1.57607         -nan
680     475000          0.004947                1.58102         -nan
679     475000          0.005357                1.58637         -nan
678     475000          0.005028                1.5914          -nan
677     475000          0.004864                1.59627         -nan
676     475000          0.00496         1.60123         -nan
675     475000          0.004825                1.60605         -nan
674     475000          0.004823                1.61087         -nan
673     475000          0.004783                1.61566         -nan
672     475000          0.00489         1.62055         -nan
671     475000          0.004796                1.62534         -nan
670     475000          0.00535         1.63069         -nan
669     475000          0.00513         1.63582         -nan
668     475000          0.004897                1.64072         -nan
667     475000          0.004884                1.6456          -nan
666     475000          0.00481         1.65041         -nan
665     475000          0.004813                1.65523         -nan
664     475000          0.004829                1.66006         -nan
663     475000          0.004885                1.66494         -nan
662     475000          0.004831                1.66977         -nan
661     475000          0.005306                1.67508         -nan
660     475000          0.00483         1.67991         -nan
659     475000          0.004951                1.68486         -nan
658     475000          0.00478         1.68964         -nan
657     475000          0.004974                1.69461         -nan
656     475000          0.004821                1.69943         -nan
655     475000          0.004849                1.70428         -nan
654     475000          0.004788                1.70907         -nan
653     475000          0.004809                1.71388         -nan
652     475000          0.005304                1.71918         -nan
651     475000          0.004922                1.72411         -nan
650     475000          0.004883                1.72899         -nan
649     475000          0.004842                1.73383         -nan
648     475000          0.004827                1.73866         -nan
647     475000          0.004824                1.74348         -nan
646     475000          0.004864                1.74835         -nan
645     475000          0.004842                1.75319         -nan
644     475000          0.004779                1.75797         -nan
643     475000          0.005359                1.76333         -nan
642     475000          0.005315                1.76864         -nan
641     475000          0.004854                1.77349         -nan
640     475000          0.004799                1.77829         -nan
639     475000          0.004805                1.7831          -nan
638     475000          0.004798                1.7879          -nan
637     475000          0.004828                1.79272         -nan
636     475000          0.004839                1.79756         -nan
635     475000          0.004818                1.80238         0
634     475000          0.005311                1.80769         0
633     475000          0.004947                1.81264         0
632     475000          0.004895                1.81753         0
631     475000          0.004821                1.82236         0
630     475000          0.004918                1.82727         0
629     475000          0.004902                1.83218         0
628     475000          0.004811                1.83699         0
627     475000          0.00479         1.84178         0
626     475000          0.00481         1.84659         0
625     475000          0.005328                1.85191         0
624     475000          0.005012                1.85693         0
623     475000          0.004904                1.86183         0
622     475000          0.004889                1.86672         0
621     475000          0.004815                1.87153         0
620     475000          0.004842                1.87638         0
619     475000          0.004797                1.88117         0
618     475000          0.004812                1.88599         0
617     475000          0.004797                1.89078         0
616     475000          0.005472                1.89626         0
615     475000          0.005151                1.90141         0
614     475000          0.005023                1.90643         0
613     475000          0.004818                1.91125         0
612     475000          0.004855                1.9161          0
611     475000          0.004809                1.92091         0
610     475000          0.004846                1.92576         0
609     475000          0.004823                1.93058         0
608     475000          0.004791                1.93537         0
607     475000          0.005467                1.94084         0
606     475000          0.004877                1.94571         0
605     475000          0.004861                1.95058         0
604     475000          0.004847                1.95542         0
603     475000          0.004944                1.96037         0
602     475000          0.004831                1.9652          0
601     475000          0.004797                1.96999         0
600     475000          0.004794                1.97479         0
599     475000          0.004855                1.97964         0
598     475000          0.005325                1.98497         0
597     475000          0.004869                1.98984         0
596     475000          0.004845                1.99468         0
595     475000          0.004842                1.99952         0
594     475000          0.004891                2.00442         0
593     475000          0.004822                2.00924         0
592     475000          0.004796                2.01403         0
591     475000          0.004835                2.01887         0
